Полное наименование,ОКПО,ИНН,ОГРН
Общество с ограниченной ответственностью С.В.Т.С.- СОПРОВОЖДЕНИЕ-ПРИАМУРЬЕ,14099858,2724071602,1032700509973
Общество с ограниченной ответственностью МЕЛИТОН-С,14126259,7716226869,1037716005051
Общество с ограниченной ответственностью ВИКТОРИ С.А.,14160013,7717140117,1037717006194
Общество с ограниченной ответственностью АЛЬЯНС С,14182826,7721253762,1037721008698
Общество с ограниченной ответственностью КОМВЭЛ-С,14188252,7705495796,1037705030550
Общество с ограниченной ответственностью ВИТА-С,14344298,3234049617,1033265020216
Общество с ограниченной ответственностью СОВРЕМЕННЫЕ ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ,14455974,2460057754,1032401787307
Общество с ограниченной ответственностью МАСТЕР С 2000,14494612,6673098061,1036604798097
Общество с ограниченной ответственностью БАЛЫКЛЕС-СЕРВИС,14521599,8612010803,1038602850660
Общество с ограниченной ответственностью МАСТЕР-С,14560725,6330024875,1036301405744
Общество с ограниченной ответственностью АКВА С.,14571568,7725226833,1037725017736
Общество с ограниченной ответственностью КРОНА-С,14596077,7709417943,1037709033900
Общество с ограниченной ответственностью НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ НЕФТЕХИМИЯ,14596232,7723332561,1037723015880
Общество с ограниченной ответственностью СТИЛЬ С,14643243,7735122590,1037735012226
Общество с ограниченной ответственностью ТРИКАРТ - С,14682279,5229006178,1035201261402
Общество с ограниченной ответственностью РЕГИОН - С,14788658,4218024134,1034218001267
Общество с ограниченной ответственностью ОБЩЕСТВО ПОДДЕРЖКИ ФЕРМЕРСКИХ ХОЗЯЙСТВ,14811848,2327008562,1032315287685
Общество с ограниченной ответственностью СТАЛИ+СПЛАВЫ,14841370,7448055982,1037402548919
Общество с ограниченной ответственностью МЕЖРЕГИОНАЛЬНОЕ ТОРГОВОЕ ОБЩЕСТВО,15200526,7811141213,1037825048359
Общество с ограниченной ответственностью СИГМА - С,15245776,2536134987,1032501305473
Общество с ограниченной ответственностью ВЗЛЕТ-С ПЛЮС,15320791,3905052177,1033901810931
Общество с ограниченной ответственностью ЛАГУНА - С,15347086,6325033063,1036301262690
Общество с ограниченной ответственностью ТЕЛЕКОМ-С,15358227,6367040344,1036302410946
Общество с ограниченной ответственностью ДВА Н,16448582,5193404535,1025100859134
Общество с ограниченной ответственностью ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА С-Э,16655789,7728048000,1027739783279
Общество с ограниченной ответственностью ФИРМА РО-С.С.ЭКО,16773164,7715038654,1037739273307
Общество с ограниченной ответственностью ФИРМА С.А.С.,16859931,2311003008,1022303614552
Общество с ограниченной ответственностью НАДЕЖДА-С,16962669,7704006925,1027739492461
Общество с ограниченной ответственностью ОБЩЕСТВО ВИКТОРИЯ,17013981,7734012570,1037739381338
